customer_id,customer_name,age,employment_status,length_of_employment_years,annual_income,housing_status,city,state,join_date
CUST000001,Michael Jones,45,Unemployed,0.0,27118.02,Mortgage,San Diego,California,2021-06-12
CUST000002,Ramesh Shah,38,Employed,3.22,51883.1,Mortgage,Los Angeles,CA,2020-04-23
CUST000003,Thomas Rodriguez,47,Employed,1.95,,Own,Seattle,Washington,2015-04-20
CUST000004,Ramesh Patel,58,Employed,0.63,57858.94,Mortgage,Indianapolis,IN,2021-08-19
CUST000005,Rahul Gupta,37,retired,0.0,65183.23,Mortgage,Charlotte,NC,2020-03-04
CUST000006,Karen Mehta,37,Employed,5.55,79630.71,Rent,Dallas,TX,2018-04-23
CUST000007,Vikram Rao,58,Employed,0.26,120861.07,Rent,San Antonio,TX,2016-08-18
CUST000008,Jessica Wilson,49,Retired,0.0,22178.2,RENT,Fresno,CA,19/11/2017
CUST000009,Sneha Garcia,34,Self-Employed,0.22,85026.18,Own,Philadelphia,PA,12/07/2021
CUST000010,Rahul Singh,46,Unemployed,0.0,50976.32,mortgage,Raleigh,NC,2020-08-30
CUST000011,Sneha Rodriguez,34,Employed,0.46,66170.02,Rent,Las Vegas,NV,2019-03-23
CUST000012,Lisa Patel,34,Employed,2.07,113093.49,Own,Chicago,IL,2020-05-09
CUST000013,Neha Rao,42,Employed,9.1,29245.71,Mortgage,Los Angeles,CA,2017-09-17
CUST000014,Vikram Reddy,22,Self-Employed,4.75,32611.27,Mortgage,Philadelphia,PA,2018-08-23
CUST000015,William Mehta,22,Self-Employed,5.73,18746.12,Own,Columbus,OH,2018-07-02
CUST000016,Linda Reddy,33,Self-Employed,3.5,43066.67,Own,Charlotte,NC,2016-08-12
CUST000017,Joseph Anderson,27,Self-Employed,12.78,133020.62,Rent,Minneapolis,MN,2017-09-18
CUST000018,David Brown,43,employed,3.9,55695.11,Mortgage,Omaha,NE,2020-02-18
CUST000019,Jessica Kumar,29,Self-Employed,0.55,26793.78,Rent,Los Angeles,CA,23/11/2015
CUST000020,Vikram Hernandez,23,Employed,13.52,44738.64,RENT,Sacramento,CA,22/06/2018
CUST000021,Patricia Garcia,57,Employed,0.71,24520.95,Own,Fort Worth,TX,2015-01-01
CUST000022,Anjali Shah,37,Employed,35.47,30481.9,Own,Fresno,CA,2020-09-18
CUST000023,James Williams,40,Self-Employed,2.86,75606.03,Mortgage,Portland,OR,2021-11-10
CUST000024,Barbara Sharma,22,Unemployed,0.0,29604.33,Mortgage,Charlotte,North Carolina,19/12/2017
CUST000025,Ramesh Williams,33,Employed,9.98,116725.53,Rent,Baltimore,MD,2015-10-05
CUST000026,John Rodriguez,41,Employed,0.49,57372.93,Rent,Raleigh,NC,07/01/2018
CUST000027,Joseph Lopez,26,Employed,0.96,63029.42,Mortgage,Seattle,WA,2015-11-25
CUST000028,Jennifer Gupta,44,retired,0.0,50664.27,Own,New York,NY,2020-09-01
CUST000029,Robert Reddy,32,Self-Employed,5.64,95197.48,RENT,Austin,Texas,28/05/2020
CUST000030,Anjali Gonzalez,36,Retired,0.0,95788.31,Mortgage,Las Vegas,NV,2017-04-15
CUST000031,Amit Martinez,32,Unemployed,0.0,73206.0,Rent,El Paso,Texas,2020-09-06
CUST000032,Patricia Rao,62,Employed,7.58,84025.32,Mortgage,Seattle,WA,2017-03-30
CUST000033,Susan Shah,39,Employed,0.66,52719.79,Mortgage,San Jose,CA,2015-07-12
CUST000034,Kiran Anderson,27,EMPLOYED,5.21,82894.32,Mortgage,Columbus,OH,2019-01-15
CUST000035,James Miller,49,EMPLOYED,15.96,48887.32,Rent,El Paso,TX,2015-08-14
CUST000036,Amit Martinez,25,Employed,17.12,59954.37,Own,San Antonio,TX,2019-12-05
CUST000037,Richard Johnson,42,Employed,0.88,50777.76,Mortgage,Philadelphia,PA,2015-08-03
CUST000038,Pooja Kumar,22,Self-Employed,7.13,45509.16,Mortgage,Memphis,TN,2017-08-16
CUST000039,Joseph Gupta,24,Employed,9.37,39597.96,Own,San Antonio,TX,2016-04-22
CUST000040,David Mehta,42,Employed,10.99,79269.92,Rent,Washington,DC,2018-07-16
CUST000041,Robert Lopez,48,Employed,1.96,131447.6,Own,Washington,DC,2017-10-12
CUST000042,Sarah Shah,42,Employed,1.57,120893.01,Own,Omaha,NE,2020-04-09
CUST000043,James Garcia,38,Self-Employed,0.25,28171.35,Rent,San Francisco,CA,2021-01-29
CUST000044,Jennifer Rodriguez,36,self-employed,2.55,129770.38,Mortgage,Chicago,Illinois,2018-07-31
CUST000045,Vikram Lopez,22,Employed,0.66,49469.17,Own,Milwaukee,WI,2018-08-08
CUST000046,Vikram Gonzalez,31,Self-Employed,7.71,85857.12,Own,Fresno,CA,2019-06-05
CUST000047,Richard Kumar,34,Employed,0.77,34761.68,Rent,San Diego,CA,2020-08-13
CUST000048,James Reddy,52,Employed,8.54,65198.25,Rent,Memphis,TN,2021-01-29
CUST000049,John Williams,44,Employed,0.57,72275.02,Rent,Philadelphia,PA,2018-10-16
CUST000050,Charles Reddy,22,Retired,0.0,24568.91,Rent,Sacramento,CA,2016-12-20
CUST000051,Neha Lopez,43,Employed,2.43,86246.12,Rent,Denver,CO,2018-05-26
CUST000052,Karen Davis,35,Employed,4.6,134263.69,Mortgage,Arlington,TX,2017-03-07
CUST000053,Richard Anderson,31,Unemployed,0.0,53917.55,Rent,Boston,Massachusetts,2016-04-22
CUST000054,Vikram Patel,47,Employed,4.56,135415.2,Mortgage,Cleveland,OH,2020-12-22
CUST000055,James Rodriguez,52,Employed,0.0,53433.0,Rent,Fort Worth,TX,2016-03-23
CUST000056,Susan Wilson,51,Unemployed,0.0,99683.03,Rent,Phoenix,AZ,2021-02-28
CUST000057,Pooja Brown,29,Employed,3.64,15817.28,Rent,Chicago,IL,2018-03-13
