loan_id,application_id,customer_id,disbursement_date,loan_amount,current_loan_status,total_principal_paid,total_interest_paid,remaining_balance,last_payment_date,next_payment_date,days_past_due,default_flag,application_date,loan_purpose,amount_requested,term_months,application_status,funnel_stage_reached,interest_rate_offered,dti_ratio,customer_name,age,employment_status,length_of_employment_years,annual_income,housing_status,city,state,join_date,credit_score_fico,total_credit_lines,open_credit_lines,derogatory_public_records,revolving_utilization_rate,credit_history_length_months,inquiries_last_6_months,nsf_count
LOAN0000001,APP0000001,CUST004596,2025-06-23,20016.84,Charged-Off,2094.44,182.29,17922.4,2025-08-21,2025-09-20,361,1,2024-08-25,Major Purchase,20016.84,60,Approved,Disbursed,12.53,1.29,Anil Anderson,41.0,Self-Employed,2.16,136726.68,Rent,Baltimore,MD,26/01/2017,736.0,7.0,5.0,0.0,8.9,99.0,1.0,9.0
LOAN0000002,APP0000002,CUST004836,2025-01-27,3421.42,Charged-Off,1991.08,276.8,1430.34,2026-01-05,2026-02-04,98,1,,Debt Consolidation,3421.42,36,Approved,Disbursed,16.9,11.51,Priya Singh,41.0,Employed,1.24,63244.48,Mortgage,Atlanta,GA,2020-04-15,669.0,4.0,3.0,0.0,26.22,282.0,4.0,10.0
LOAN0000003,APP0000004,CUST003380,2025-08-15,8672.94,Fully Paid,7970.78,415.62,702.16,2027-01-15,2027-02-14,10,0,,Credit Card Refinancing,8672.94,60,Approved,Disbursed,12.0,24.44,Linda Garcia,31.0,Employed,4.23,31635.8,Mortgage,Portland,OR,2016-02-12,626.0,16.0,9.0,0.0,55.49,112.0,0.0,0.0
LOAN0000004,APP0000005,CUST003085,2022-07-19,23926.61,In Grace Period,16015.02,1189.31,7911.59,2024-04-01,2024-05-01,5,0,2025-12-22,Debt Consolidation,23926.61,60,Approved,Disbursed,27.37,3.45,James Martinez,37.0,Retired,0.0,71225.3,Rent,Indianapolis,IN,2015-04-07,717.0,2.0,4.0,0.0,18.69,331.0,1.0,0.0
LOAN0000005,APP0000007,CUST000951,2025-07-23,10154.68,Current,7649.64,940.0,2505.04,,2026-10-09,0,0,2022-02-20,Home Improvement,10154.68,36,Approved,Disbursed,9.52,41.92,Patricia Hernandez,37.0,Self-Employed,14.33,47586.74,Mortgage,Arlington,TX,2020-01-08,753.0,6.0,3.0,0.0,29.15,24.0,1.0,0.0
LOAN0000006,APP0000009,CUST001280,2024-08-16,17845.57,Current,12067.93,2198.21,5777.64,2026-08-07,2026-09-06,5,0,2024-11-25,Credit Card Refinancing,17845.57,60,Approved,Disbursed,14.18,8.51,William Miller,36.0,Employed,3.91,122357.68,Mortgage,Tucson,AZ,2016-12-19,593.0,6.0,8.0,1.0,13.6,188.0,0.0,1.0
LOAN0000007,APP0000010,CUST000277,2023-11-03,9342.92,Fully Paid,8267.21,472.58,1075.71,2024-12-06,2025-01-05,0,0,2025-12-29,Home Improvement,9342.92,60,Approved,Disbursed,11.21,,Patricia Johnson,42.0,Employed,0.68,66786.68,Rent,Raleigh,NC,2020-09-23,782.0,13.0,7.0,0.0,4.99,83.0,0.0,0.0
LOAN0000008,APP0000012,CUST001235,2022-09-08,12689.58,Charged-Off,6168.36,1405.03,6521.22,2023-01-07,2023-02-06,265,1,2023-10-28,Major Purchase,12689.58,36,Approved,Disbursed,17.09,8.77,Linda Lopez,30.0,Employed,4.97,60389.61,Rent,Louisville,KY,2018-12-02,752.0,10.0,11.0,0.0,22.87,53.0,2.0,12.0
LOAN0000009,APP0000016,CUST004759,2024-05-04,35170.73,Fully Paid,29114.68,4022.72,6056.05,2026-08-19,2026-09-18,10,0,2022-09-08,Debt Consolidation,35170.73,36,Approved,Disbursed,10.74,23.27,William Anderson,32.0,Self-Employed,12.08,83103.27,Mortgage,Seattle,WA,2015-07-24,713.0,7.0,2.0,0.0,20.0,148.0,3.0,0.0
LOAN0000010,APP0000017,CUST001367,2023-03-07,21810.49,Charged-Off,12137.48,1108.36,9673.01,2025-05-15,2025-06-14,46,1,2023-11-02,Credit Card Refinancing,21810.49,60,Approved,Disbursed,19.39,7.71,Michael Rao,39.0,Employed,0.4,75363.1,Mortgage,Washington,DC,2019-11-26,781.0,9.0,8.0,0.0,43.05,306.0,0.0,8.0
